Categoria;Prueba;Marca;Año;Competencia;Nombre Atleta;
Adulto Femenino;Salto Largo;6.28 metros;2021;Sudamericano Adulto;Macarena Reyes;
Adulto Femenino;Salto Largo;6.06 metros;2021;Sudamericano Adulto;Trinidad Hurtado;
Adulto Femenino;Salto Alto;1.71 metros;2021;Sudamericano Adulto;Catalina Ossa;
Adulto Masculino;Salto Garrocha;5 metros;2021;Sudamericano Adulto;Guillermo Correa;
Adulto Femenino;Salto Garrocha;3.7 metros;2021;Sudamericano Adulto;Antonia Crestani;
Adulto Femenino;800m;124,16;2023;Sudamericano Adulto;Berdine Castillo;
Adulto Masculino;800m;107,27;2023;Sudamericano Adulto;Rafael Muñoz;
Adulto Masculino;800m;109,01;2023;Sudamericano Adulto;Fernando Arévalo;
Adulto Femenino;Salto Largo;6.07 metros;2023;Sudamericano Adulto;Rocío Muñoz;
Adulto Masculino;Salto Largo;7.62 metros;2023;Sudamericano Adulto;Vicente Belgeri;
Adulto Masculino;Lanzamiento Bala;17.65 metros;2023;Sudamericano Adulto;Matías Puschel;
Adulto Masculino;Lanzamiento Bala;17.28 metros;2023;Sudamericano Adulto;José Joaquín Ballivian;
Adulto Femenino;Lanzamiento Bala;17.39 metros;2023;Sudamericano Adulto;Ivanna Gallardo;
Adulto Femenino;Lanzamiento Bala;16.93 metros;2023;Sudamericano Adulto;Natalia Ducó;
Adulto Masculino;Lanzamiento Martillo;75.92 metros;2023;Sudamericano Adulto;Humberto Mansilla;
Adulto Masculino;Lanzamiento Martillo;75.57 metros;2023;Sudamericano Adulto;Gabriel Kehr;
Adulto Femenino;Lanzamiento Martillo;61.44 metros;2023;Sudamericano Adulto;Mariana García;
Adulto Femenino;Salto Garrocha;3.4 metros;2023;Sudamericano Adulto;Antonia Crestani;
Adulto Masculino;Salto Garrocha;5.2 metros;2023;Sudamericano Adulto;Guillermo Correa;
Adulto Femenino;Lanzamiento Disco;59.92 metros;2023;Sudamericano Adulto;Karen Gallardo;
Adulto Masculino;Lanzamiento Disco;63.24 metros;2023;Sudamericano Adulto;Claudio Romero;
Adulto Masculino;Lanzamiento Disco;59.64 metros;2023;Sudamericano Adulto;Lucas Nervi;
Adulto Masculino;Salto Alto;2.05 metros;2023;Sudamericano Adulto;Pedro Álamos;
Adulto Femenino;Lanzamiento Jabalina;52.65 metros;2023;Sudamericano Adulto;María Paz Ríos;
Juvenil Femenino;800m;138,81;2022;Sudamericano Escolar;Karla Pulgar;
